p@5		NN build [s]	# of Folds	# Iterations	UntriedSuccess	Discount	SVD Thresh	# LSH Bands	# LSH Rows	# Patient NN	# Cond NN
19.31		215.91		1000		4		20		0.9		0.8		500		32		10		5
31.29		184.96		1000		4		50		0.9		0.8		500		32		5		5
28.74		181.88		1000		4		50		0.9		0.8		500		32		10		5
34.87		167.19		1000		4		50		0.9		0.9		500		32		5		5
40.45		167.07		1000		4		60		0.9		0.9		500		32		5		5
28.06		208.55		1000		4		100		0.9		0.9		500		32		5		5
22.91		203.19		1000		4		10		0.9		0.9		500		32		5		5
24.02		206.79		1000		4		10		0.9		0.9		500		32		5		3
25.74		174.5		1000		4		10		0.9		0.9		400		32		5		3
29.23		168.05		1000		4		5		0.9		0.9		400		32		5		3
31.29		159.4		1000		4		5		0.9		0.9		400		32		4		3
32.85		167.89		1000		4		5		0.9		0.9		400		32		3		3
29.37		164.93		1000		4		5		0.9		0.85		400		32		3		3
0		nan		1000		100		5		0.9		0.9		400		32		3		3
